Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
ChEMBL,View-Unionable,assays_both_0_70_ec_av,facebook/bart-base,0.5714285714285714,0.5263157894736842,0.625,249.508052110672
ChEMBL,View-Unionable,assays_both_0_70_ec_av,gpt,0.6857142857142857,0.631578947368421,0.75,83.4339919090271
ChEMBL,View-Unionable,assays_both_0_70_ec_av,roberta-base,0.5714285714285714,0.5263157894736842,0.625,93.23673605918884
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,bert-base-uncased,0.6857142857142857,0.631578947368421,0.75,84.03691601753235
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,distilbert-base-uncased,0.742857142857143,0.6842105263157895,0.8125,74.43742370605469
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,sentence-transformers/all-MiniLM-L6-v2,0.6857142857142857,0.631578947368421,0.75,55.67994976043701
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,albert-base-v2,0.6285714285714286,0.5789473684210527,0.6875,86.86484098434448
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,facebook/bart-base,0.5142857142857142,0.4736842105263157,0.5625,273.10107588768005
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,gpt,0.8571428571428572,0.7894736842105263,0.9375,88.98760795593262
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,roberta-base,0.8571428571428572,0.7894736842105263,0.9375,106.61015605926514
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,bert-base-uncased,0.0,0.0,0.0,24.84182190895081
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,distilbert-base-uncased,0.0,0.0,0.0,19.83526086807251
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,14.419306993484495
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,albert-base-v2,0.0,0.0,0.0,24.87096691131592
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,facebook/bart-base,0.0,0.0,0.0,72.49203205108643
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,gpt,0.0,0.0,0.0,20.65220093727112
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,roberta-base,0.1538461538461538,0.0833333333333333,1.0,28.425761222839355
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,bert-base-uncased,0.3,0.2142857142857142,0.5,41.66260623931885
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,distilbert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,32.25455117225647
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,sentence-transformers/all-MiniLM-L6-v2,0.3,0.2142857142857142,0.5,26.00405216217041
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,albert-base-v2,0.3,0.2142857142857142,0.5,42.2017970085144
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,facebook/bart-base,0.5,0.3571428571428571,0.8333333333333334,127.56755781173706
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,gpt,0.4,0.2857142857142857,0.6666666666666666,44.34264278411865
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,roberta-base,0.4,0.2857142857142857,0.6666666666666666,41.95507192611694
ChEMBL,View-Unionable,assays_both_0_50_ec_av,bert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,67.13259506225586
ChEMBL,View-Unionable,assays_both_0_50_ec_av,distilbert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,50.124470949172974
ChEMBL,View-Unionable,assays_both_0_50_ec_av,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,40.598814964294434
ChEMBL,View-Unionable,assays_both_0_50_ec_av,albert-base-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,68.81986999511719
ChEMBL,View-Unionable,assays_both_0_50_ec_av,facebook/bart-base,0.5714285714285714,0.4705882352941176,0.7272727272727273,218.95756697654724
ChEMBL,View-Unionable,assays_both_0_50_ec_av,gpt,0.5714285714285714,0.4705882352941176,0.7272727272727273,69.74380493164062
ChEMBL,View-Unionable,assays_both_0_50_ec_av,roberta-base,0.7857142857142858,0.6470588235294118,1.0,80.5525369644165
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,bert-base-uncased,0.0,0.0,0.0,25.807734727859497
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,distilbert-base-uncased,0.0,0.0,0.0,19.50033187866211
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,15.278958082199097
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,albert-base-v2,0.0,0.0,0.0,27.39057993888855
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,facebook/bart-base,0.0,0.0,0.0,81.19945311546326
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,24.53927183151245
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,roberta-base,0.0,0.0,0.0,32.84257364273071
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,bert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,75.48812007904053
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,distilbert-base-uncased,0.4285714285714285,0.3529411764705882,0.5454545454545454,51.34453296661377
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,sentence-transformers/all-MiniLM-L6-v2,0.4285714285714285,0.3529411764705882,0.5454545454545454,42.55657815933228
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,albert-base-v2,0.4285714285714285,0.3529411764705882,0.5454545454545454,73.44765710830688
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,facebook/bart-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,215.4152500629425
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,gpt,0.6428571428571428,0.5294117647058824,0.8181818181818182,68.26480007171631
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,roberta-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,95.52628016471864
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,47.561814069747925
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,distilbert-base-uncased,0.6,0.4285714285714285,1.0,32.746424198150635
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,25.721497774124146
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,45.45146989822388
