Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,roberta-base,0.6285714285714286,0.5789473684210527,0.6875,189.60778427124023
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,bert-base-uncased,0.0,0.0,0.0,61.44186902046204
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,distilbert-base-uncased,0.0,0.0,0.0,31.364897966384888
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,sentence-transformers/all-MiniLM-L6-v2,0.1538461538461538,0.0833333333333333,1.0,22.451656818389893
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,albert-base-v2,0.0,0.0,0.0,26.585941076278687
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,facebook/bart-base,0.0,0.0,0.0,95.24850702285768
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,25.95262718200684
ChEMBL,View-Unionable,assays_both_0_1_ac5_ev,roberta-base,0.0,0.0,0.0,48.724486112594604
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,bert-base-uncased,0.6,0.4285714285714285,1.0,94.32842898368835
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,distilbert-base-uncased,0.6,0.4285714285714285,1.0,52.95024371147156
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,33.63896083831787
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,albert-base-v2,0.6,0.4285714285714285,1.0,46.31299591064453
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,facebook/bart-base,0.4,0.2857142857142857,0.6666666666666666,163.03924322128296
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,gpt,0.6,0.4285714285714285,1.0,39.904316902160645
ChEMBL,View-Unionable,assays_both_0_30_ac5_ev,roberta-base,0.6,0.4285714285714285,1.0,82.76939392089844
ChEMBL,View-Unionable,assays_both_0_50_ec_av,distilbert-base-uncased,0.4285714285714285,0.3529411764705882,0.5454545454545454,105.05022478103638
ChEMBL,View-Unionable,assays_both_0_50_ec_av,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,55.24241518974304
ChEMBL,View-Unionable,assays_both_0_50_ec_av,albert-base-v2,0.4285714285714285,0.3529411764705882,0.5454545454545454,75.48390674591064
ChEMBL,View-Unionable,assays_both_0_50_ec_av,facebook/bart-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,271.22963094711304
ChEMBL,View-Unionable,assays_both_0_50_ec_av,gpt,0.6428571428571428,0.5294117647058824,0.8181818181818182,62.74502205848694
ChEMBL,View-Unionable,assays_both_0_50_ec_av,roberta-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,140.90855503082275
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,distilbert-base-uncased,0.0,0.0,0.0,47.27789306640625
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,sentence-transformers/all-MiniLM-L6-v2,0.1538461538461538,0.0833333333333333,1.0,18.969234943389893
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,albert-base-v2,0.1538461538461538,0.0833333333333333,1.0,26.866718292236328
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,facebook/bart-base,0.0,0.0,0.0,98.00050711631776
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,25.09497380256653
ChEMBL,View-Unionable,assays_both_0_1_ac1_ev,roberta-base,0.1538461538461538,0.0833333333333333,1.0,49.84356904029846
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,distilbert-base-uncased,0.5714285714285714,0.4705882352941176,0.7272727272727273,113.8409857749939
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.5882352941176471,0.9090909090909092,55.86662817001343
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,albert-base-v2,0.5,0.4117647058823529,0.6363636363636364,77.35189604759216
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,facebook/bart-base,0.5,0.4117647058823529,0.6363636363636364,293.7099311351776
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,gpt,0.7142857142857143,0.5882352941176471,0.9090909090909092,63.72969698905945
